country,iso3,dimension,was_clamped,clamp_direction,clamp_adjustment,distance_from_lower,distance_from_upper
Austria,AUT,D1,True,LOWER,8.92,0.36,11.37
Austria,AUT,D2,True,LOWER,9.81,0.76,15.83
Austria,AUT,D3,False,NONE,-0.35,6.62,6.22
Austria,AUT,D4,True,LOWER,6.66,0.23,13.51
Morocco,MAR,D1,True,LOWER,2.04,0.27,11.26
Morocco,MAR,D2,False,NONE,-0.44,1.91,8.99
Morocco,MAR,D3,False,NONE,0.29,26.07,3.46
Morocco,MAR,D4,False,NONE,-0.14,22.74,22.41
Malaysia,MYS,D1,True,LOWER,8.08,0.88,2.04
Malaysia,MYS,D2,False,NONE,0.24,2.36,0.41
Malaysia,MYS,D3,True,UPPER,-11.45,5.28,0.56
Malaysia,MYS,D4,True,UPPER,-4.89,3.85,0.49
Poland,POL,D1,False,NONE,0.14,6.83,3.24
Poland,POL,D2,False,NONE,-2.45,5.22,16.34
Poland,POL,D3,True,UPPER,-9.22,15.46,0.82
Poland,POL,D4,True,UPPER,-2.34,15.81,0.89
Burkina Faso,BFA,D1,True,LOWER,4.0,0.72,19.4
Burkina Faso,BFA,D2,False,NONE,-0.18,14.94,24.36
Burkina Faso,BFA,D3,False,NONE,-0.37,32.66,7.69
Burkina Faso,BFA,D4,False,NONE,0.09,12.81,31.95
Bosniaherz,BIH,D1,True,LOWER,2.59,0.01,16.59
Bosniaherz,BIH,D2,False,NONE,0.3,21.91,25.29
Bosniaherz,BIH,D3,False,NONE,-0.01,27.41,12.61
Bosniaherz,BIH,D4,False,NONE,0.16,20.22,22.36
Bhutan,BTN,D1,False,NONE,-20.48,0.4,28.18
Bhutan,BTN,D2,False,NONE,-0.47,14.0,23.64
Bhutan,BTN,D3,False,NONE,0.33,35.99,9.97
Bhutan,BTN,D4,False,NONE,-6.5,16.81,37.3
Dominican Republic,DOM,D1,False,NONE,-0.29,1.41,30.13
Dominican Republic,DOM,D2,False,NONE,-0.43,31.98,2.66
Dominican Republic,DOM,D3,False,NONE,0.46,19.83,26.33
Dominican Republic,DOM,D4,False,NONE,-0.01,25.52,20.41
Fiji,FJI,D1,False,NONE,0.56,0.94,16.83
Fiji,FJI,D2,False,NONE,-0.31,20.21,22.31
Fiji,FJI,D3,False,NONE,0.34,24.63,0.7
Fiji,FJI,D4,False,NONE,0.05,18.82,11.78
Georgia,GEO,D1,False,NONE,-8.4,3.84,11.94
Georgia,GEO,D2,False,NONE,3.92,27.17,0.16
Georgia,GEO,D3,False,NONE,8.78,25.0,14.84
Georgia,GEO,D4,False,NONE,-2.59,25.62,21.17
Honduras,HND,D1,False,NONE,-0.4,0.8,25.66
Honduras,HND,D2,False,NONE,-0.1,43.37,13.11
Honduras,HND,D3,False,NONE,0.29,22.92,21.82
Honduras,HND,D4,False,NONE,0.32,26.77,39.68
Kazakhstan,KAZ,D1,True,LOWER,0.99,0.95,15.19
Kazakhstan,KAZ,D2,False,NONE,0.18,6.31,20.0
Kazakhstan,KAZ,D3,False,NONE,0.38,37.08,15.29
Kazakhstan,KAZ,D4,False,NONE,-0.11,38.27,17.66
Kenya,KEN,D1,True,LOWER,4.78,0.17,13.74
Kenya,KEN,D2,False,NONE,0.47,7.98,22.89
Kenya,KEN,D3,False,NONE,0.14,23.09,11.27
Kenya,KEN,D4,False,NONE,-0.11,30.71,8.69
Luxembourg,LUX,D1,False,NONE,2.89,8.42,20.95
Luxembourg,LUX,D2,False,NONE,-0.45,10.66,33.09
Luxembourg,LUX,D3,False,NONE,0.02,27.34,9.88
Luxembourg,LUX,D4,False,NONE,0.31,28.55,29.17
Malawi,MWI,D1,False,NONE,-0.12,1.42,18.44
Malawi,MWI,D2,False,NONE,-0.12,20.11,20.32
Malawi,MWI,D3,False,NONE,0.44,25.6,9.31
Malawi,MWI,D4,False,NONE,0.32,22.38,31.22
Oman,OMN,D1,False,NONE,0.57,0.7,16.12
Oman,OMN,D2,False,NONE,-0.45,12.5,37.17
Oman,OMN,D3,True,UPPER,-1.43,42.62,0.5
Oman,OMN,D4,False,NONE,0.11,26.62,22.18
Qatar,QAT,D1,False,NONE,0.37,1.46,18.68
Qatar,QAT,D2,False,NONE,0.28,9.63,21.45
Qatar,QAT,D3,True,UPPER,-2.83,49.93,0.35
Qatar,QAT,D4,False,NONE,0.31,52.0,7.48
Sierra Leone,SLE,D1,True,LOWER,1.3,0.43,23.74
Sierra Leone,SLE,D2,False,NONE,-0.15,26.13,14.93
Sierra Leone,SLE,D3,False,NONE,0.44,18.9,17.0
Sierra Leone,SLE,D4,False,NONE,0.24,18.44,35.34
Tajikistan,TJK,D1,True,LOWER,3.48,0.44,16.73
Tajikistan,TJK,D2,False,NONE,-0.42,19.25,29.94
Tajikistan,TJK,D3,False,NONE,-0.12,36.16,19.76
Tajikistan,TJK,D4,False,NONE,-0.23,27.96,37.72
Tanzania,TZA,D1,True,LOWER,1.33,0.82,23.44
Tanzania,TZA,D2,False,NONE,-0.35,23.32,10.26
Tanzania,TZA,D3,False,NONE,-0.08,21.31,24.03
Tanzania,TZA,D4,False,NONE,-0.42,21.45,37.31
Vietnam,VNM,D1,False,NONE,-0.46,4.12,12.32
Vietnam,VNM,D2,False,NONE,-0.29,15.56,16.83
Vietnam,VNM,D3,False,NONE,-0.09,25.21,11.68
Vietnam,VNM,D4,False,NONE,-0.3,33.21,11.85
Zambia,ZMB,D1,True,LOWER,2.81,0.93,22.6
Zambia,ZMB,D2,False,NONE,0.18,12.72,7.19
Zambia,ZMB,D3,False,NONE,-0.02,17.55,13.24
Zambia,ZMB,D4,False,NONE,0.15,13.08,26.81
Myanmar (formerly Burma),MMR,D1,False,NONE,0.26,8.99,5.81
Myanmar (formerly Burma),MMR,D2,False,NONE,-0.38,9.31,25.45
Myanmar (formerly Burma),MMR,D3,False,NONE,0.14,36.02,5.59
Myanmar (formerly Burma),MMR,D4,False,NONE,-0.5,19.31,41.67
Mongolia,MNG,D1,False,NONE,-0.12,4.76,19.2
Mongolia,MNG,D2,False,NONE,0.3,21.31,18.1
Mongolia,MNG,D3,False,NONE,0.06,27.29,21.87
Mongolia,MNG,D4,False,NONE,-0.11,37.04,22.69
Syria,SYR,D1,False,NONE,0.09,0.33,21.63
Syria,SYR,D2,False,NONE,-0.08,26.06,16.16
Syria,SYR,D3,False,NONE,-0.07,36.33,9.15
Syria,SYR,D4,False,NONE,0.03,19.1,13.74
Colombia,COL,D1,True,LOWER,12.7,0.23,1.34
Colombia,COL,D2,True,LOWER,10.59,0.49,7.16
Colombia,COL,D3,False,NONE,0.0,1.24,1.57
Colombia,COL,D4,True,LOWER,9.09,0.81,2.82
South Korea,KOR,D1,False,NONE,0.0,0.4,0.85
South Korea,KOR,D2,True,LOWER,5.99,0.07,2.67
South Korea,KOR,D3,True,UPPER,-11.59,2.5,0.62
South Korea,KOR,D4,True,LOWER,13.29,0.52,3.64
Turkey,TUR,D1,True,LOWER,8.25,0.72,1.0
Turkey,TUR,D2,True,LOWER,0.0,-0.65,3.11
Turkey,TUR,D3,True,UPPER,-1.94,3.18,0.29
Turkey,TUR,D4,False,NONE,0.0,3.35,0.0
Argentina,ARG,D1,True,LOWER,4.34,0.63,1.52
Argentina,ARG,D2,True,LOWER,4.45,0.85,6.49
Argentina,ARG,D3,True,LOWER,8.75,0.92,3.26
Argentina,ARG,D4,True,LOWER,0.36,0.01,2.96
Australia,AUS,D1,True,UPPER,-0.25,5.77,0.15
Australia,AUS,D2,True,LOWER,5.06,0.47,5.23
Australia,AUS,D3,True,UPPER,-3.3,4.03,0.49
Australia,AUS,D4,True,UPPER,-3.09,2.36,0.54
Bolivia,BOL,D1,True,LOWER,7.45,0.17,8.56
Bolivia,BOL,D2,False,NONE,0.1,6.77,16.4
Bolivia,BOL,D3,False,NONE,0.41,29.28,2.57
Bolivia,BOL,D4,False,NONE,0.39,24.46,11.22
Brazil,BRA,D1,True,LOWER,12.57,0.18,1.19
Brazil,BRA,D2,True,UPPER,-1.02,4.32,0.11
Brazil,BRA,D3,True,LOWER,4.93,0.35,2.99
Brazil,BRA,D4,True,LOWER,3.86,0.95,1.9
Canada,CAN,D1,True,LOWER,1.1,0.42,6.3
Canada,CAN,D2,True,LOWER,10.18,0.78,6.24
Canada,CAN,D3,True,UPPER,-3.67,3.37,0.1
Canada,CAN,D4,True,LOWER,2.22,0.0,2.82
