country,iso3,dimension,integrator_recommendation,llm_recommendation,final,llm_changed
Austria,AUT,D1,74.08,83.0,83,True
Austria,AUT,D2,59.19,69.0,69,True
Austria,AUT,D3,76.35,76.0,76,False
Austria,AUT,D4,66.34,73.0,73,True
Morocco,MAR,D1,29.96,32.0,32,True
Morocco,MAR,D2,37.44,37.0,37,False
Morocco,MAR,D3,58.71,59.0,59,False
Morocco,MAR,D4,47.14,47.0,47,False
Malaysia,MYS,D1,25.92,26.0,34,False
Malaysia,MYS,D2,37.76,38.0,38,False
Malaysia,MYS,D3,39.45,36.0,28,True
Malaysia,MYS,D4,45.89,46.0,41,False
Poland,POL,D1,57.86,58.0,58,False
Poland,POL,D2,44.45,42.0,42,True
Poland,POL,D3,73.22,68.0,64,True
Poland,POL,D4,59.34,57.0,57,True
Burkina Faso,BFA,D1,23.0,27.0,27,True
Burkina Faso,BFA,D2,35.18,35.0,35,False
Burkina Faso,BFA,D3,54.37,54.0,54,False
Burkina Faso,BFA,D4,36.91,37.0,37,False
Bosniaherz,BIH,D1,37.41,37.0,40,False
Bosniaherz,BIH,D2,45.7,46.0,46,False
Bosniaherz,BIH,D3,58.01,58.0,58,False
Bosniaherz,BIH,D4,41.84,42.0,42,False
Bhutan,BTN,D1,49.48,29.0,29,True
Bhutan,BTN,D2,33.47,33.0,33,False
Bhutan,BTN,D3,46.67,47.0,47,False
Bhutan,BTN,D4,34.5,28.0,28,True
Dominican Republic,DOM,D1,35.29,35.0,35,False
Dominican Republic,DOM,D2,65.43,65.0,65,False
Dominican Republic,DOM,D3,39.54,40.0,40,False
Dominican Republic,DOM,D4,51.01,51.0,51,False
Fiji,FJI,D1,28.44,29.0,29,True
Fiji,FJI,D2,38.31,38.0,38,False
Fiji,FJI,D3,47.66,48.0,48,False
Fiji,FJI,D4,38.95,39.0,39,False
Georgia,GEO,D1,46.4,38.0,38,True
Georgia,GEO,D2,48.08,52.0,52,True
Georgia,GEO,D3,46.22,55.0,55,True
Georgia,GEO,D4,44.59,42.0,42,True
Honduras,HND,D1,24.4,24.0,24,False
Honduras,HND,D2,55.1,55.0,55,False
Honduras,HND,D3,43.71,44.0,44,False
Honduras,HND,D4,37.68,38.0,38,False
Kazakhstan,KAZ,D1,45.01,46.0,46,True
Kazakhstan,KAZ,D2,36.82,37.0,37,False
Kazakhstan,KAZ,D3,59.62,60.0,60,False
Kazakhstan,KAZ,D4,53.11,53.0,53,False
Kenya,KEN,D1,28.22,33.0,33,True
Kenya,KEN,D2,39.53,40.0,40,False
Kenya,KEN,D3,46.86,47.0,47,False
Kenya,KEN,D4,56.11,56.0,56,False
Luxembourg,LUX,D1,57.11,60.0,60,True
Luxembourg,LUX,D2,47.45,47.0,47,False
Luxembourg,LUX,D3,64.98,65.0,65,False
Luxembourg,LUX,D4,57.69,58.0,58,False
Malawi,MWI,D1,30.12,30.0,30,False
Malawi,MWI,D2,43.12,43.0,43,False
Malawi,MWI,D3,44.56,45.0,45,False
Malawi,MWI,D4,44.68,45.0,45,False
Oman,OMN,D1,26.43,27.0,27,True
Oman,OMN,D2,30.45,30.0,30,False
Oman,OMN,D3,59.43,58.0,58,True
Oman,OMN,D4,41.89,42.0,42,False
Qatar,QAT,D1,26.63,27.0,27,False
Qatar,QAT,D2,29.72,30.0,30,False
Qatar,QAT,D3,67.83,65.0,65,True
Qatar,QAT,D4,54.69,55.0,55,False
Sierra Leone,SLE,D1,26.7,28.0,28,True
Sierra Leone,SLE,D2,53.15,53.0,53,False
Sierra Leone,SLE,D3,40.56,41.0,41,False
Sierra Leone,SLE,D4,39.76,40.0,40,False
Tajikistan,TJK,D1,24.52,28.0,28,True
Tajikistan,TJK,D2,33.42,33.0,33,False
Tajikistan,TJK,D3,45.12,45.0,45,False
Tajikistan,TJK,D4,36.23,36.0,36,False
Tanzania,TZA,D1,26.67,27.0,28,False
Tanzania,TZA,D2,47.35,47.0,47,False
Tanzania,TZA,D3,38.08,38.0,38,False
Tanzania,TZA,D4,33.42,33.0,33,False
Vietnam,VNM,D1,37.46,37.0,37,False
Vietnam,VNM,D2,31.29,31.0,31,False
Vietnam,VNM,D3,39.09,39.0,39,False
