country,iso3,dimension,framework_baseline,framework_lower,framework_upper,specialist_recommendation,council_consensus,integrator_recommendation,llm_recommendation,final,clamp_adjustment,range_utilization
Austria,AUT,D1,88.5041665,82.64,94.37,64.667,88.0,74.08,83.0,83,8.92,3
Austria,AUT,D2,76.53935366,68.24,84.83,42.333,74.31,59.19,69.0,69,9.81,5
Austria,AUT,D3,75.80154952,69.38,82.22,76.667,76.0,76.35,76.0,76,-0.35,52
Austria,AUT,D4,79.63799297,72.77,86.51,56.0,79.21,66.34,73.0,73,6.66,2
Morocco,MAR,D1,37.49807008,31.73,43.26,26.0,36.74,29.96,32.0,32,2.04,2
Morocco,MAR,D2,40.54167634,35.09,45.99,37.667,36.28,37.44,37.0,37,-0.44,18
Morocco,MAR,D3,47.69542945,32.93,62.46,64.0,54.33,58.71,59.0,59,0.29,88
Morocco,MAR,D4,46.83923434,24.26,69.41,48.333,45.35,47.14,47.0,47,-0.14,50
Malaysia,MYS,D1,34.58092489,33.12,36.04,19.333,35.0,25.92,26.0,34,8.08,30
Malaysia,MYS,D2,37.02466723,35.64,38.41,38.333,37.0,37.76,38.0,38,0.24,85
Malaysia,MYS,D3,25.64402738,22.72,28.56,50.0,25.28,39.45,36.0,28,-11.45,90
Malaysia,MYS,D4,39.32143557,37.15,41.49,51.0,40.11,45.89,46.0,41,-4.89,89
Poland,POL,D1,56.20568663,51.17,61.24,58.333,57.67,57.86,58.0,58,0.14,68
Poland,POL,D2,47.55910442,36.78,58.34,46.0,40.94,44.45,42.0,42,-2.45,24
Poland,POL,D3,56.67988333,48.54,64.82,82.0,63.72,73.22,68.0,64,-9.22,95
Poland,POL,D4,49.54451624,41.19,57.89,68.5,51.25,59.34,57.0,57,-2.34,95
Burkina Faso,BFA,D1,36.34020787,26.28,46.4,17.333,28.0,23.0,27.0,27,4.0,4
Burkina Faso,BFA,D2,39.70683211,20.06,59.36,35.667,33.31,35.18,35.0,35,-0.18,38
Burkina Faso,BFA,D3,41.51441693,21.34,61.69,62.667,45.75,54.37,54.0,54,-0.37,81
Burkina Faso,BFA,D4,46.57224067,24.19,68.95,32.667,38.73,36.91,37.0,37,0.09,29
Bosniaherz,BIH,D1,48.29008407,39.99,56.59,32.667,42.0,37.41,37.0,40,2.59,0
Bosniaherz,BIH,D2,47.69062966,24.09,71.29,54.0,34.0,45.7,46.0,46,0.3,46
Bosniaherz,BIH,D3,50.60262616,30.59,70.61,61.0,55.0,58.01,58.0,58,-0.01,68
