country,iso3,dimension,seat_a,seat_b,shared_evidence,identical_text
Bhutan,BTN,D1,cultural_anthropologist,historical_analyst,True,False
Kenya,KEN,D1,cultural_anthropologist,historical_analyst,True,False
Kenya,KEN,D2,cultural_anthropologist,historical_analyst,True,False
Oman,OMN,D1,cultural_anthropologist,historical_analyst,True,False
Brazil,BRA,D1,cultural_anthropologist,historical_analyst,True,False
Brazil,BRA,D2,cultural_anthropologist,historical_analyst,True,False
Denmark,DNK,D1,cultural_anthropologist,historical_analyst,True,False
Hungary,HUN,D1,cultural_anthropologist,historical_analyst,True,False
Italy,ITA,D1,cultural_anthropologist,historical_analyst,True,False
Netherlands,NLD,D1,cultural_anthropologist,historical_analyst,True,False
Sweden,SWE,D1,cultural_anthropologist,historical_analyst,True,False
Sweden,SWE,D2,cultural_anthropologist,historical_analyst,True,False
Venezuela,VEN,D1,cultural_anthropologist,historical_analyst,True,False
Cyprus,CYP,D1,cultural_anthropologist,historical_analyst,True,False
Lithuania,LTU,D1,cultural_anthropologist,historical_analyst,True,False
Nepal,NPL,D1,cultural_anthropologist,historical_analyst,True,False
Trinidad And Tobago,TTO,D1,cultural_anthropologist,historical_analyst,True,False
Tunisia,TUN,D1,cultural_anthropologist,historical_analyst,True,False
Uzbekistan,UZB,D1,cultural_anthropologist,historical_analyst,True,False
Botswana,BWA,D1,cultural_anthropologist,historical_analyst,True,False
Guyana,GUY,D1,cultural_anthropologist,historical_analyst,True,False
Saint Kitts and Nevis,KNA,D1,cultural_anthropologist,historical_analyst,True,False
Mauritius,MUS,D1,cultural_anthropologist,historical_analyst,True,False
Eswatini,SWZ,D1,cultural_anthropologist,historical_analyst,True,False
